"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","1.2213","1.2298","1.2310","1.2209","89.06K","-0.67%"
"12/30/2020","1.2295","1.2248","1.2311","1.2246","104.54K","0.39%"
"12/29/2020","1.2247","1.2217","1.2276","1.2207","98.53K","0.27%"
"12/28/2020","1.2214","1.2202","1.2251","1.2181","77.76K","0.08%"
"12/25/2020","1.2204","1.2186","1.2212","1.2165","14.42K","0.15%"
"12/24/2020","1.2186","1.2188","1.2217","1.2177","134.45K","0.01%"
"12/23/2020","1.2185","1.2163","1.2221","1.2154","197.79K","0.20%"
"12/22/2020","1.2161","1.2244","1.2257","1.2151","179.41K","-0.66%"
"12/21/2020","1.2242","1.2242","1.2254","1.2129","162.42K","-0.11%"
"12/18/2020","1.2255","1.2268","1.2273","1.2225","103.62K","-0.09%"
"12/17/2020","1.2266","1.2199","1.2274","1.2191","118.83K","0.57%"
"12/16/2020","1.2197","1.2152","1.2213","1.2125","141.79K","0.38%"
"12/15/2020","1.2151","1.2143","1.2170","1.2121","121.01K","0.07%"
"12/14/2020","1.2143","1.2131","1.2177","1.2115","92.55K","0.26%"
"12/11/2020","1.2111","1.2137","1.2163","1.2105","86.53K","-0.21%"
"12/10/2020","1.2136","1.2083","1.2160","1.2075","94.87K","0.46%"
"12/09/2020","1.2081","1.2103","1.2148","1.2059","134.03K","-0.17%"
"12/08/2020","1.2101","1.2109","1.2134","1.2095","150.89K","-0.06%"
"12/07/2020","1.2108","1.2128","1.2167","1.2078","130.83K","-0.10%"
"12/04/2020","1.2120","1.2142","1.2178","1.2110","131.09K","-0.16%"
"12/03/2020","1.2140","1.2115","1.2177","1.2100","132.12K","0.21%"
"12/02/2020","1.2115","1.2070","1.2119","1.2040","105.23K","0.37%"
"12/01/2020","1.2070","1.1928","1.2077","1.1926","100.31K","1.19%"
"11/30/2020","1.1928","1.1957","1.2004","1.1924","74.00K","-0.28%"
"11/27/2020","1.1962","1.1914","1.1965","1.1907","72.27K","0.41%"
"11/26/2020","1.1913","1.1916","1.1941","1.1884","78.64K","0.00%"
"11/25/2020","1.1913","1.1891","1.1931","1.1882","105.99K","0.21%"
"11/24/2020","1.1888","1.1842","1.1897","1.1837","96.60K","0.41%"
"11/23/2020","1.1840","1.1853","1.1906","1.1800","86.12K","-0.11%"
"11/20/2020","1.1853","1.1875","1.1891","1.1849","103.33K","-0.17%"
"11/19/2020","1.1873","1.1853","1.1883","1.1816","113.76K","0.18%"
"11/18/2020","1.1852","1.1863","1.1892","1.1848","129.04K","-0.08%"
"11/17/2020","1.1861","1.1852","1.1895","1.1842","87.18K","0.07%"
"11/16/2020","1.1853","1.1829","1.1869","1.1813","84.28K","0.18%"
"11/13/2020","1.1832","1.1805","1.1838","1.1798","117.64K","0.24%"
"11/12/2020","1.1804","1.1777","1.1824","1.1758","136.87K","0.23%"
"11/11/2020","1.1777","1.1810","1.1834","1.1745","142.79K","-0.31%"
"11/10/2020","1.1814","1.1812","1.1844","1.1780","164.31K","0.01%"
"11/09/2020","1.1813","1.1882","1.1920","1.1795","151.73K","-0.50%"
"11/06/2020","1.1872","1.1826","1.1891","1.1795","133.31K","0.43%"
"11/05/2020","1.1821","1.1725","1.1861","1.1710","124.20K","0.84%"
"11/04/2020","1.1722","1.1715","1.1770","1.1603","143.65K","0.09%"
"11/03/2020","1.1711","1.1640","1.1740","1.1633","89.57K","0.61%"
"11/02/2020","1.1640","1.1658","1.1658","1.1622","87.85K","-0.06%"
"10/30/2020","1.1647","1.1674","1.1705","1.1639","116.35K","-0.23%"
"10/29/2020","1.1674","1.1746","1.1760","1.1650","148.26K","-0.60%"
"10/28/2020","1.1744","1.1796","1.1798","1.1717","110.98K","-0.43%"
